city_cn,lat,lon
万州,30.801700,108.433000
三亚,18.302900,109.412003
三明,26.426300,117.833600
上海,31.170650,121.570499
上饶,28.379700,117.964300
且末,38.233611,85.465556
东营,37.508598,118.788002
中卫,37.573125,105.154454
临汾,36.132629,111.641236
临沂,35.046101,118.412003
临沧,23.738100,100.025002
丹东,40.024700,124.286003
丽江,26.680000,100.246002
义乌,29.344700,120.031998
乌兰察布市,41.129722,113.108056
乌兰浩特,46.195333,122.008333
乌海,39.793400,106.799300
乌鲁木齐,43.907101,87.474197
九寨沟,32.853333,103.682222
九江,29.476944,115.801111
二连浩特,43.422500,112.096667
五大连池,48.445000,126.133000
伊宁,43.955799,81.330299
伊春,47.752056,129.019125
佛山,23.083300,113.070000
佳木斯,46.843399,130.464996
保山,25.053301,99.168297
克拉玛依,45.466550,84.952700
六盘水,26.609417,104.979000
兰州,36.515202,103.620003
兴义,25.086389,104.959444
凯里,26.972000,107.988000
加格达奇,50.371389,124.117500
包头,40.560001,109.997002
北京,39.795023,116.497960
北海,21.539400,109.293999
十堰,32.591667,110.907778
南京,31.742001,118.862000
南充,30.795450,106.162600
南宁,22.608299,108.171997
南昌,28.865000,115.900002
南阳,32.980801,112.614998
博乐,44.895000,82.300000
厦门,24.544001,118.127998
合肥,31.780001,117.297997
吉安,26.856899,114.737000
吐鲁番,43.030800,89.098700
吕梁,37.683333,111.142778
呼和浩特,40.851398,111.823997
和田,37.038502,79.864899
哈密,42.841400,93.669197
哈尔滨,45.623402,126.250000
喀什,39.542900,76.019997
嘉峪关,39.856899,98.341400
固原,36.078889,106.216944
塔城,46.672501,83.340797
夏河,34.810500,102.644700
大同,40.060299,113.482002
大庆,46.746389,125.140556
大理,25.649401,100.319000
大连,38.965698,121.539001
天水,34.559399,105.860001
天津,39.124401,117.346001
太原,37.746899,112.627998
如皋,32.257885,120.501656
威海,37.187099,122.228996
宁波,29.826700,121.461998
宁蒗,27.540300,100.759300
安庆,30.582199,117.050003
安康,32.708099,108.931000
安顺,26.260556,105.873333
宜宾,28.800556,104.545000
宜昌,30.556550,111.479988
宜春,27.802500,114.306200
富蕴,46.804169,89.512006
巴彦淖尔,40.926000,107.742800
布尔津,48.222300,86.995900
常州,31.919701,119.778999
常德,28.918900,111.639999
广元,32.391102,105.702003
广州,23.392401,113.299004
庆阳,35.799702,107.602997
库尔勒,41.697800,86.128899
库车,41.677856,82.872917
康定,30.157500,101.734722
延吉,42.882801,129.451004
延安,36.636902,109.554001
建三江,47.110000,132.660278
张家口,40.738602,114.930000
张家界,29.102800,110.443001
张掖,38.801899,100.675003
徐州,34.059056,117.555278
德令哈,37.125286,97.268658
忻州,38.597456,112.969173
怀化芷江,27.441111,109.700000
恩施,30.320299,109.485001
惠州,23.049999,114.599998
成都,30.445550,104.195599
扎兰屯,47.865833,122.767503
扬州,32.563400,119.719800
承德,41.122500,118.073889
抚远,48.199494,134.366447
拉萨,29.297800,90.911903
攀枝花,26.540000,101.798520
敦煌,40.161098,94.809196
新源,43.431800,83.378600
无锡,31.494400,120.429001
日喀则,29.351900,89.311401
日照,35.405033,119.324403
昆明,25.101944,102.929167
昌都,30.553600,97.108299
昭通,27.325600,103.754997
普洱,22.793301,100.959000
景德镇,29.338600,117.176003
景洪,21.973900,100.760002
朝阳,41.538101,120.434998
杭州,30.229500,120.433998
松原,44.938114,124.550178
林芝,29.303301,94.335297
果洛,34.418066,100.301144
柳州,24.207500,109.390999
格尔木,36.400600,94.786102
桂林,25.218100,110.039001
梅州,24.350000,116.133003
梧州,23.456699,111.248001
榆林,38.359710,109.590927
武夷山,27.701900,118.000999
武汉,30.783800,114.208000
毕节,27.267066,105.472097
永州,26.338661,111.610043
汉中,33.134136,107.206014
汕头,23.552000,116.503300
池州,30.740300,117.685600
沈阳,41.639801,123.483002
沧源,23.273889,99.373611
河池,24.805000,107.699700
泉州,24.796400,118.589996
泸州,28.852200,105.392998
洛阳,34.741100,112.388000
济南,36.857201,117.216003
济宁,35.292778,116.346667
海口,19.934900,110.459000
海拉尔,49.205002,119.824997
淮安,33.790833,119.125000
深圳,22.639299,113.810997
温州,27.912201,120.851997
湛江,21.214399,110.358002
满洲里,49.566667,117.330000
漠河,52.912778,122.430000
潍坊,36.646702,119.119003
澜沧,22.415833,99.786389
烟台,37.401699,121.372002
牡丹江,44.524101,129.569000
狮泉河,32.100000,80.053056
玉树,32.836389,97.036389
珠海,22.006399,113.375999
琼海,19.138240,110.454775
白城,45.505278,123.019722
白山,42.066944,127.602222
百色,23.720600,106.959999
盐城,33.425833,120.203056
石家庄,38.280701,114.696999
神农架,31.626000,110.340000
福州,25.935101,119.663002
稻城,29.323056,100.053333
绵阳,31.428101,104.740997
腾冲,24.938056,98.485833
舟山,29.934200,122.362000
芒市,24.401100,98.531700
苏州,31.263100,120.401001
荔波,25.452500,107.961667
莎车,38.281055,77.075192
营口,40.542524,122.358600
蚌埠,32.847733,117.320244
衡阳,26.905300,112.627998
衢州,28.965799,118.899002
襄阳,32.150600,112.291000
西宁,36.527500,102.042999
西安,34.447102,108.751999
西昌,27.989100,102.183998
贵阳,26.538500,106.801003
赣州,25.853333,114.778889
赤峰,42.235001,118.907997
运城,35.116391,111.031389
连云港,34.571667,118.873611
通化,42.253889,125.703333
通辽,43.556702,122.199997
遵义,27.816380,106.332680
邯郸,36.525833,114.425556
邵阳,26.802000,110.642000
郑州,34.519699,113.841003
鄂尔多斯,39.490000,109.861389
重庆,29.719200,106.641998
金昌,38.542222,102.348333
铜仁,27.883333,109.308889
锡林浩特,43.915600,115.963997
锦州,41.101398,121.061996
长春,43.996201,125.684998
长沙,28.189199,113.220001
长治,36.247501,113.125999
长海,39.266667,122.666944
阜阳,32.882157,115.734364
阿克苏,41.262501,80.291702
阿勒泰,47.749886,88.085808
阿坝,32.531540,102.352240
阿尔山,47.310600,119.911700
阿拉善右旗,39.225000,101.546000
阿拉善左旗,38.748310,105.588580
陇南,33.788000,105.797000
霍林郭勒,45.487222,119.407222
青岛,36.362100,120.074400
鞍山,41.105301,122.853996
额济纳旗,42.015500,101.000500
香格里拉,27.793600,99.677200
鸡西,45.293000,131.193000
黄山,29.733299,118.255997
黄岩,28.562201,121.429001
黎平,26.322170,109.149900
黑河,50.171621,127.308884
黔江,29.513333,108.831111
齐齐哈尔,47.239601,123.917999
龙岩,25.674700,116.747002
